DEPT,BASEMENT,CALI,DCALI_FINAL,DTC,DTS,FLWPMPS,GR,LLD,LLM,LLS,NPHI,RHOB,ROP,RPM,TORQUE,WELL,WOB
3411.1692,0,,0.548580647,52.2613945,,,99.65358734,476.9980469,85.98246002,,0.033842783,2.714889288,,,,01-97-HXS-1X,
3411.3216,0,,0.459674776,51.97620773,,,102.319191,396.3216858,79.85021973,10.68357849,0.037043832,2.705477715,,,,01-97-HXS-1X,
3411.474,0,,0.452804416,52.20477676,,,101.3470688,349.1969605,78.6977005,11.14603519,0.041150656,2.69801259,,,,01-97-HXS-1X,
3411.6264,0,,0.475139916,51.83232498,,556,100.028801,332.1781311,82.37204742,11.47465611,0.044007611,2.700330019,5.900000095,157,3.170000076,01-97-HXS-1X,16.37000084
3411.7788,0,,0.483099937,51.33918762,,556,99.39972687,456.9268799,92.47860718,11.59692478,0.043292388,2.708930016,5.900000095,157,3.170000076,01-97-HXS-1X,16.37000084
3411.9312,0,,0.462972283,51.1349678,,556,100.9287033,531.810791,99.66445923,11.67724323,0.041178215,2.717015743,5.900000095,157,3.170000076,01-97-HXS-1X,16.37000084
3412.0836,0,,0.428779036,51.07767868,,556.6688232,104.7597427,758.3374634,104.8084412,11.43004322,0.039085303,2.718256712,5.950160027,157,3.168328047,01-97-HXS-1X,16.36164093
3412.236,0,,0.418893695,51.12225342,,557.8880005,108.3232575,3052.232666,123.5211563,11.56708241,0.0383,2.714506388,6.041599751,157,3.165280104,01-97-HXS-1X,16.34640122
3412.3884,0,,0.408989608,51.45325089,,559.1071777,109.8294449,2953.92041,136.3803101,11.78253555,0.038814437,2.712256908,6.133039951,157,3.162232161,01-97-HXS-1X,16.33115959
3412.5408,0,,0.371669531,51.46681213,,560,108.6828766,1825.74231,134.7230835,11.96762753,0.041093439,2.707848787,6.26854372,157,3.205696106,01-97-HXS-1X,16.31184006
3412.6932,0,,0.329356968,51.55632401,,560,107.6053467,1360.948486,124.871254,11.42846966,0.045929659,2.701163054,6.52457571,157,3.37638402,01-97-HXS-1X,16.28135872
3412.8456,0,,0.322602183,51.68719101,,560,107.2984924,1092.562744,114.8852158,10.65426731,0.053015746,2.698635817,6.7806077,157,3.547071934,01-97-HXS-1X,16.25087929
3412.998,0,,0.369748086,51.71456909,,560,107.1480331,1026.032959,110.1730194,10.8499403,0.062359054,2.69776392,7.036640167,157,3.717760086,01-97-HXS-1X,16.22039986
3413.1504,0,,0.396079063,51.67876816,,561.203186,104.1938324,968.5109253,106.9087219,11.01136208,0.073909447,2.686496973,6.435391903,157,3.726016045,01-97-HXS-1X,16.51478386
3413.3028,0,,0.387818396,51.59102631,,562.4224243,101.7217865,591.1737671,92.05943298,10.59844208,0.082672708,2.664809704,5.822743893,157,3.732111931,01-97-HXS-1X,16.81348801
3413.4552,0,,0.398318619,51.48641586,,563.6416016,99.79328156,738.6196899,101.68573,11.1043644,0.084649868,2.648190498,5.210096359,157,3.738208056,01-97-HXS-1X,17.11219215
3413.6076,0,,0.448769182,51.39637756,,564,100.5764618,2310.847656,157.6337433,13.26325035,0.080798946,2.650873423,4.823408127,157,3.6410079,01-97-HXS-1X,18.66766548
3413.76,0,,0.496400148,51.05253601,,564,101.012146,1624.509399,169.6775208,14.63412094,0.077128083,2.673255444,4.530800343,157,3.500799894,01-97-HXS-1X,20.74640083
3413.9124,0,,0.487943292,50.60144806,,564,99.30625153,678.4471436,145.2173157,14.51470184,0.07401365,2.691280842,4.238192082,157,3.360591888,01-97-HXS-1X,22.82513619
3414.0648,0,,0.434930831,50.54937744,,564,94.94430542,758.6704712,141.4561157,14.39641285,0.071706824,2.699329615,4.089440346,157,3.269631863,01-97-HXS-1X,24.02518463
3414.2172,0,,0.354297221,50.55807877,,564,92.39294434,969.1057129,144.7179871,14.24017239,0.068913646,2.700628519,4.135159969,157,3.245248079,01-97-HXS-1X,24.0373764
3414.3696,0,,0.313482851,50.44199753,,564,93.783638,1069.019898,143.2140808,13.91430759,0.065899476,2.709974289,4.18088007,157,3.220864058,01-97-HXS-1X,24.04956818
3414.522,0,,0.31152916,50.38917923,,564,95.05041504,1247.177856,141.9359894,13.29095364,0.061813388,2.722859383,4.316359997,157,3.239160061,01-97-HXS-1X,24.06131935
3414.6744,0,,0.336120844,50.25677109,,564,96.18831635,1485.803223,142.8904572,12.86902332,0.057913646,2.731565714,4.983871937,157,3.510432005,01-97-HXS-1X,24.07046318
3414.8268,0,,0.35468775,50.04954529,,564,94.73941803,1108.349487,136.5758514,13.15832233,0.053227559,2.729663134,5.651383877,157,3.781704187,01-97-HXS-1X,24.07960701
3414.9792,0,,0.371275723,50.54826737,,564,95.34999847,945.6234741,139.9130249,13.45894241,0.047891863,2.723920584,6.318895817,157,4.052976131,01-97-HXS-1X,24.08875275
3415.1316,0,,0.369440109,51.33107376,,564,95.79367065,949.9300537,143.0630188,13.67161083,0.041562993,2.722743034,6.357359886,157,4.071576119,01-97-HXS-1X,23.82943153
3415.284,0,,0.354396939,52.07401276,,564,95.36746979,939.6468506,149.2750244,13.96465302,0.038006824,2.725157738,6.29640007,157,4.05024004,01-97-HXS-1X,23.52767944
3415.4364,0,,0.348899841,52.51891708,,564,93.33943939,855.5648804,148.5967712,14.10726547,0.036821261,2.725656986,6.235439777,157,4.028903961,01-97-HXS-1X,23.22592926
3415.5888,0,,0.380537659,52.71735764,,564,90.82434082,656.6558838,141.3052063,13.80052662,0.041708659,2.716554642,6.158495903,157,4.019999981,01-97-HXS-1X,22.97745705
3415.7412,0,,0.43481794,53.12025833,,564,91.42723846,390.387085,117.3432236,13.37732887,0.050258793,2.696202517,6.070104122,157,4.019999981,01-97-HXS-1X,22.76714325
3415.8936,0,,0.504778802,53.50989533,,564,93.25408173,225.0839386,93.18199921,13.21997261,0.063817322,2.669658899,5.981711865,157,4.019999981,01-97-HXS-1X,22.55683136
3416.046,0,,0.575448036,53.68650055,,564,95.9945755,166.0004578,78.53647614,12.79946613,0.083811291,2.647032023,5.918159962,157,4.050360203,01-97-HXS-1X,22.41367912
3416.1984,0,,0.610910356,53.91503906,,564,97.15991974,134.8193054,69.40290833,12.11077213,0.098451972,2.636977673,5.912064076,157,4.150943756,01-97-HXS-1X,22.4258728
3416.3508,0,,0.610097945,54.02627945,,564,95.86716461,158.6551361,77.89693451,12.21987057,0.09911339,2.651954889,5.905968189,157,4.251527786,01-97-HXS-1X,22.43806458
3416.5032,0,,0.624812961,53.97759247,,564,93.4539566,255.8721924,101.1023254,12.75506115,0.094249085,2.665058374,5.910496235,157,4.354608059,01-97-HXS-1X,22.46964836
3416.6556,0,,0.698476136,53.62278366,,564,90.28817749,289.2546387,111.721077,12.94155788,0.092821524,2.66501379,6.410367966,157,4.574063778,01-97-HXS-1X,23.40538406
3416.808,0,,0.771025121,53.46176148,,564,89.37696075,258.4302979,106.3102493,12.59108353,0.099301837,2.638142586,6.910240173,157,4.793519974,01-97-HXS-1X,24.34111977
3416.9604,0,,0.786012232,53.4611969,,564,87.38983917,200.5441895,89.29222107,11.77722645,0.105114959,2.613289595,7.410111904,157,5.01297617,01-97-HXS-1X,25.27685738
3417.1128,0,,0.765566051,53.49662781,,564,86.22639465,228.806488,89.07500458,12.08552551,0.103120476,2.613830328,7.618959904,158.8047943,4.848912239,01-97-HXS-1X,25.57188797
3417.2652,0,,0.695617855,53.67185211,,564,87.18474579,332.4006348,103.5981903,12.62310886,0.10020683,2.635855436,7.72563982,161.2431946,4.550208092,01-97-HXS-1X,25.64199257
3417.4176,0,,0.640493631,54.32368469,,564,88.59487152,371.4315491,111.734581,12.91451359,0.098120995,2.657353163,7.832319737,163.6815949,4.251503944,01-97-HXS-1X,25.71209526
3417.57,0,,0.615575016,55.14213944,,564,91.11461639,389.8638611,111.660881,12.89162636,0.097685829,2.66160655,7.920799732,165,4.036799908,01-97-HXS-1X,25.78779984
3417.7224,0,,0.614123225,55.5857048,,564,89.71495056,464.8651123,118.5815888,13.17332459,0.097514175,2.658056498,7.987855911,165,3.920976162,01-97-HXS-1X,25.87009621
3417.8748,0,,0.620901048,55.68123627,,564,89.21103668,414.3577271,117.1033478,13.53606224,0.096656956,2.653420448,8.054911614,165,3.805152178,01-97-HXS-1X,25.95239258
3418.0272,0,,0.602065265,56.59457398,,564,89.65740204,307.0286255,102.0128326,13.41152954,0.09990105,2.649156332,8.114895821,165,3.693680048,01-97-HXS-1X,26.03631973
3418.1796,0,,0.604839623,57.35368729,,564,92.10853577,280.2687988,98.35242462,13.22245884,0.108330444,2.649600506,8.142327309,165,3.602240086,01-97-HXS-1X,26.12775993
3418.332,0,,0.583348095,57.85064697,,564,91.79588318,300.3731384,103.6626511,13.21767426,0.115886882,2.656837463,8.16975975,165,3.510800123,01-97-HXS-1X,26.21920013
3418.4844,0,,0.550473452,58.28189087,,564,90.11387634,335.2740173,109.226799,13.27452564,0.114884779,2.663772345,8.197192192,165,3.419360161,01-97-HXS-1X,26.31064034
3418.6368,0,,0.536220253,58.09132767,,564,89.90415955,342.2645874,108.2810059,12.99672031,0.112649873,2.663385153,8.230095863,165,3.360752106,01-97-HXS-1X,25.47457504
3418.7892,0,,0.549990952,57.61735153,,564,90.90701294,325.9542847,104.1570435,13.0144825,0.11008504,2.661006689,8.263624191,165,3.305887938,01-97-HXS-1X,24.53274345
3418.9416,0,,0.539072633,57.06707382,,564,92.40743256,294.1544495,96.46315765,12.49615479,0.103784256,2.665351391,8.297152519,165,3.251024008,01-97-HXS-1X,23.59091187
3419.094,0,,0.50989455,56.35023499,,564,92.20801544,320.2303467,93.65864563,11.41461372,0.090261154,2.674080372,8.467920303,165,3.308959961,01-97-HXS-1X,23.40295982
3419.2464,0,,0.503500879,55.96194458,,564,91.79999542,384.199646,97.94061279,11.35257912,0.07838399,2.677271366,8.723952293,165,3.436975956,01-97-HXS-1X,23.68337631
